,trial,choice,result,game_state,scheduled_probability,rt_central,rt_choice,time_start,time_end,subject,date,med_program_file,session
0,,,,,,,,,,P327,06/04/17,harvard_game_pigeons,s02
0,001,melioration,rewarded,3,0.5,5.35,8.95,0.0,27.3,P891,06/04/17,harvard_game_pigeons,s02
1,002,maximization,not_rewarded,2,0.1111,6.62,2.42,29.3,48.34,P891,06/04/17,harvard_game_pigeons,s02
2,003,melioration,not_rewarded,3,0.5,7.63,6.67,50.34,74.64,P891,06/04/17,harvard_game_pigeons,s02
3,004,melioration,not_rewarded,2,0.4444,2.55,4.53,76.64,93.72,P891,06/04/17,harvard_game_pigeons,s02
4,005,melioration,not_rewarded,1,0.3889,19.33,6.81,95.72,131.86,P891,06/04/17,harvard_game_pigeons,s02
5,006,maximization,not_rewarded,0,0.0,9.24,1.88,133.86,154.98,P891,06/04/17,harvard_game_pigeons,s02
6,007,melioration,rewarded,1,0.3889,8.79,3.13,156.98,181.9,P891,06/04/17,harvard_game_pigeons,s02
7,008,melioration,rewarded,0,0.3333,5.98,4.2,183.9,207.08,P891,06/04/17,harvard_game_pigeons,s02
8,009,melioration,rewarded,0,0.3333,2.54,3.07,209.08,227.69,P891,06/04/17,harvard_game_pigeons,s02
9,010,melioration,not_rewarded,0,0.3333,3.73,4.46,229.69,247.88,P891,06/04/17,harvard_game_pigeons,s02
10,011,melioration,rewarded,0,0.3333,4.42,4.71,249.88,272.01,P891,06/04/17,harvard_game_pigeons,s02
11,012,melioration,rewarded,0,0.3333,9.61,5.31,274.01,301.93,P891,06/04/17,harvard_game_pigeons,s02
12,013,melioration,not_rewarded,0,0.3333,5.17,1.56,303.93,320.66,P891,06/04/17,harvard_game_pigeons,s02
13,014,melioration,not_rewarded,0,0.3333,2.55,3.27,322.66,338.48,P891,06/04/17,harvard_game_pigeons,s02
14,015,melioration,not_rewarded,0,0.3333,2.24,2.67,340.48,355.39,P891,06/04/17,harvard_game_pigeons,s02
15,016,melioration,not_rewarded,0,0.3333,2.76,3.91,357.39,374.06,P891,06/04/17,harvard_game_pigeons,s02
16,017,melioration,rewarded,0,0.3333,2.98,3.26,376.06,395.3,P891,06/04/17,harvard_game_pigeons,s02
17,018,melioration,not_rewarded,0,0.3333,5.11,1.53,397.3,413.94,P891,06/04/17,harvard_game_pigeons,s02
18,019,melioration,not_rewarded,0,0.3333,2.38,2.5,415.94,430.82,P891,06/04/17,harvard_game_pigeons,s02
19,020,melioration,rewarded,0,0.3333,2.54,3.38,432.82,451.74,P891,06/04/17,harvard_game_pigeons,s02
20,021,melioration,not_rewarded,0,0.3333,1.76,3.03,453.74,468.53,P891,06/04/17,harvard_game_pigeons,s02
21,022,melioration,not_rewarded,0,0.3333,3.59,2.52,470.53,486.64,P891,06/04/17,harvard_game_pigeons,s02
22,023,melioration,rewarded,0,0.3333,1.36,5.28,488.64,508.28,P891,06/04/17,harvard_game_pigeons,s02
23,024,melioration,rewarded,0,0.3333,6.03,2.42,510.28,531.73,P891,06/04/17,harvard_game_pigeons,s02
24,025,melioration,not_rewarded,0,0.3333,4.46,3.68,533.73,551.87,P891,06/04/17,harvard_game_pigeons,s02
25,026,melioration,rewarded,0,0.3333,18.05,2.69,553.87,587.61,P891,06/04/17,harvard_game_pigeons,s02
26,027,melioration,not_rewarded,0,0.3333,26.31,4.81,589.61,630.73,P891,06/04/17,harvard_game_pigeons,s02
27,028,melioration,not_rewarded,0,0.3333,879.55,11.2,632.73,1533.48,P891,06/04/17,harvard_game_pigeons,s02
